start,end,segment_id,word
58910,59060,2,That's
59060,59120,2,a
59120,60210,2,414
60210,60580,2,horsepower
60580,60910,2,estate
60910,61179,2,car
61179,61180,2,.
61590,61690,2,I
61690,61950,2,couldn't
61950,62130,2,really
62130,62650,2,understand
62650,62790,2,why
62790,62910,2,you
62920,63110,2,need
63110,63320,2,another
63320,64069,2,150
64069,64700,2,160
64700,65129,2,horsepower
65370,65660,2,seemed
65750,66139,2,potting
66139,66140,2,","
67990,68200,2,So
68200,68429,2,yes
68429,68430,2,","
68430,68490,2,I
68490,68720,2,thought
68720,68810,2,it
68820,69060,2,was
69070,69340,2,too
69350,69669,2,much
69669,69670,2,.
