start,end,segment_id,word
232010,232130,17,The
232130,232490,17,cabin
232490,232620,17,is
232620,232980,17,so
232980,233450,17,quiet
233660,233820,17,that
233820,233870,17,I
233870,234160,17,find
234160,234520,17,myself
234530,234660,17,in
234660,235000,17,inveterate
235000,235109,17,Lee
235109,235110,17,","
235110,235550,17,popping
235550,235690,17,my
235690,236049,17,ears
236049,236050,17,","
236050,236250,17,doing
236250,236540,17,sure
236540,236760,17,haven't
236760,236900,17,been
236900,237340,17,stricken
237340,237480,17,with
237480,237670,17,some
237670,237880,17,kind
237880,237970,17,of
237980,238270,17,inner
238270,238510,17,ear
238510,239069,17,infection
239069,239070,17,","
242370,242660,17,right
242660,242980,17,quality
242980,243360,17,borders
243360,243510,17,on
243510,244219,17,flawless
244219,244220,17,","
244450,244660,17,thanks
244660,244750,17,in
244750,244950,17,part
244950,245050,17,to
245050,245140,17,a
245140,245670,17,45
245670,246140,17,$100
246140,246380,17,ad
246380,246530,17,on
246530,246780,17,called
246780,247150,17,Magic
247150,247460,17,Body
247460,247949,17,Control
247949,247950,17,","
248350,248670,17,which
248670,249020,17,scans
249020,249120,17,the
249120,249360,17,road
249360,249740,17,ahead
249740,249980,17,using
249980,250040,17,a
250040,250890,17,stereoscopic
250890,251350,17,camera
251790,251920,17,to
251930,252840,17,instantaneously
252840,253190,17,adjust
253190,253320,17,the
253320,253460,17,air
253460,254120,17,suspension
254150,254440,17,and
254440,254860,17,virtually
254860,255310,17,eliminate
255310,255640,17,body
255640,255950,17,movement
255950,256110,17,over
256110,256540,17,dips
256540,256709,17,and
256709,257010,17,speed
257010,257419,17,bumps
257419,257420,17,.
