start,end,segment_id,word
308380,308790,12,Standard
308790,309120,12,features
309120,309450,12,include
309450,309500,12,a
309500,309880,12,Harman
309880,310230,12,Kardon
310230,310650,12,premium
310650,311030,12,sound
311030,311479,12,system
311479,311480,12,","
311870,312200,12,20
312200,312360,12,inch
312360,312920,12,wheels
313440,313900,12,led
313910,314659,12,headlights
314659,314660,12,","
315060,315630,12,navigation
315630,315780,12,with
315790,316020,12,real
316020,316300,12,time
316300,316790,12,traffic
316790,317369,12,overlays
317369,317370,12,","
317760,318020,12,rain
318020,318470,12,sensing
318470,318840,12,windshield
318840,319349,12,wipers
319349,319350,12,","
319620,320160,12,adaptive
320170,320450,12,cruise
320450,320970,12,control
321140,321290,12,and
321290,321350,12,a
321350,321620,12,head
321620,321750,12,up
321750,322289,12,display
322289,322290,12,.
