start,end,segment_id,word
210110,210550,5,But
211200,211420,5,as
211420,211480,5,a
211480,212060,5,driving
212070,212480,5,car
212950,213370,5,comfort
213370,213690,5,mode
213700,213930,5,is
213930,214120,5,no
214130,214390,5,way
214390,214510,5,you
214510,214690,5,want
214700,214830,5,to
214830,215120,5,say
215840,216130,5,you
216130,216270,5,want
216270,216330,5,to
216330,216550,5,move
216550,216650,5,it
216650,216810,5,up
216810,217050,5,to
217060,217649,5,sport
217649,217650,5,","
217990,218310,5,which
218320,218900,5,basically
219040,219630,5,holds
219630,219740,5,the
219750,220000,5,gear
220000,220600,5,ratios
220660,220970,5,just
220970,221150,5,that
221150,221340,5,little
221340,221490,5,bit
221500,221930,5,longer
222040,222550,5,stiffens
222550,222670,5,up
222670,222750,5,the
222750,223470,5,suspension
223720,224320,5,exhaust
224320,224650,5,valves
224650,225050,5,stay
225050,225489,5,sharp
225489,225490,5,","
225690,225880,5,which
225880,225980,5,is
225980,226080,5,an
226080,226550,5,interesting
226550,227060,5,proposition
227070,227170,5,for
227170,227290,5,me
227290,227690,5,driving
227690,227770,5,it
227780,227920,5,in
227920,228359,5,sport
228359,228360,5,","
229260,229540,5,but
230010,230160,5,I
230160,230400,5,can
230410,230740,5,flick
230740,230820,5,it
230820,231050,5,into
231050,231440,5,manual
231440,231630,5,with
231640,232130,5,the
232140,232450,5,top
232450,232550,5,of
232550,232620,5,a
232620,233060,5,paddle
235840,236010,5,on
236010,236130,5,the
236140,236570,5,throttle
236570,237260,5,response
237640,238280,5,becomes
238290,238520,5,a
238530,238800,5,lot
238810,239430,5,more
239660,240339,5,active
240339,240340,5,.
