start,end,segment_id,class_id
40,22620,1,6
39310,47990,2,7
48410,52720,3,6
58000,117200,4,3
117200,140940,5,6
141020,172130,6,1
172130,211130,7,8
211430,244040,8,1
246500,282160,9,1
282160,290350,10,2
290560,327170,11,3
327170,335700,12,7
336340,365850,13,3
366640,389630,14,0
389740,458150,15,9
461090,497820,16,6
497930,543820,17,4
543820,584050,18,7
584210,635600,19,3
635610,649240,20,5
649300,656390,21,7
656540,659950,22,6
660100,663010,23,3
663120,668500,24,0
668510,675610,25,1
675640,677980,26,5
678040,704710,27,3
704720,737090,28,4
737100,763800,29,9
763860,768280,30,7
768520,769410,31,4
769490,774810,32,0
774830,777510,33,6
777510,789840,34,0
789850,861050,35,6
862340,886180,36,9
