start,end,segment_id,class_id
19460,29010,1,6
30790,41250,2,7
42260,60970,3,6
60980,69100,4,0
71140,78730,5,0
79020,91220,6,4
93840,107270,7,4
107270,112200,8,2
112200,116530,9,4
123460,143370,10,4
146040,146510,11,4
149950,156810,12,4
156820,159160,13,0
163740,169150,14,0
169150,209130,15,4
211450,221830,16,6
221840,225980,17,4
226490,232060,18,6
233120,269700,19,0
269700,288380,20,4
299210,301070,21,4
305100,307030,22,4
307620,311790,23,2
311890,313890,24,0
314070,317380,25,2
319970,321220,26,2
323780,328620,27,2
332760,334710,28,2
335630,348520,29,4
362300,363610,30,4
