start,end,segment_id,class_id
140,7520,1,6
7520,9740,2,1
9920,14280,3,0
14510,44400,4,2
44640,60430,5,7
60820,93750,6,2
95090,96860,7,9
96960,118250,8,1
118530,165020,9,8
165390,221490,10,1
221820,256050,11,9
256050,279800,12,3
279800,294200,13,1
294820,338750,14,3
340740,358330,15,4
358330,369260,16,5
369700,412150,17,4
412620,418990,18,3
421840,424000,19,3
425310,505820,20,0
507540,555850,21,4
556980,600160,22,5
600290,604780,23,3
604780,617710,24,4
618640,623050,25,6
623600,637800,26,3
637800,648830,27,7
648830,660980,28,9
661740,671750,29,8
672340,695390,30,1
696160,702490,31,6
702490,710540,32,9
712240,729450,33,1
730450,747600,34,4
748250,758260,35,1
759160,785950,36,0
791140,826640,37,6
