start,end,segment_id,class_id
240,15180,1,6
15190,34410,2,2
34550,40250,3,9
43150,47130,4,2
51090,54660,5,6
56710,62930,6,2
68870,72350,7,6
76110,77440,8,2
78710,92960,9,9
93830,97550,10,3
98740,107280,11,2
107910,117700,12,9
118410,123260,13,3
126500,133720,14,2
134470,148350,15,0
152840,160880,16,3
161150,167970,17,0
168380,180450,18,2
180940,182590,19,8
183890,186370,20,1
187140,193060,21,2
193060,198490,22,4
198730,220370,23,7
222050,257910,24,4
259540,262170,25,3
264410,278600,26,8
278910,301440,27,2
301450,310840,28,9
310840,325010,29,3
325510,332950,30,6
333730,345700,31,0
346140,362190,32,4
363640,364610,33,3
366440,383370,34,4
384410,395730,35,0
395740,417630,36,6
