start,end,segment_id,class_id
6280,28950,1,6
29470,36750,2,2
36990,43550,3,0
44010,52260,4,6
52900,62540,5,7
62540,64540,6,4
70160,97720,7,0
98040,105800,8,3
106240,118660,9,0
119360,133750,10,4
134540,153480,11,0
154600,195950,12,4
197950,221250,13,3
221820,235880,14,2
236590,245670,15,1
246090,277110,16,8
277420,280420,17,1
280420,285950,18,8
287530,295030,19,3
295030,310660,20,1
310670,341120,21,3
343400,368230,22,9
368240,384150,23,7
384990,387340,24,0
387340,409840,25,9
409850,415950,26,5
416540,431500,27,6
431500,438010,28,7
438240,441050,29,6
