start,end,segment_id,class_id
4820,12640,1,6
25410,32000,2,6
32000,106490,3,0
106490,115890,4,6
115890,136930,5,0
137170,157490,6,6
157490,247220,7,0
247220,280090,8,4
280100,285120,9,0
285470,325880,10,6
325880,342240,11,4
344770,345650,12,4
347740,365310,13,4
365340,378120,14,0
378420,395790,15,6
395790,416480,16,0
416560,433790,17,6
434680,440460,18,4
441100,450600,19,0
451780,452910,20,6
452920,497420,21,7
497420,507930,22,3
509040,538170,23,6
538180,545900,24,3
545900,593450,25,0
593600,611280,26,6
