start,end,segment_id,class_id
12620,33550,1,6
33640,37170,2,4
37300,69940,3,6
92480,113350,4,0
116710,138850,5,0
140930,148650,6,0
150950,156740,7,0
156750,168650,8,4
171040,184050,9,4
185790,196770,10,3
212080,240810,11,3
241010,251590,12,2
251940,270950,13,5
277490,444720,14,8
454140,471020,15,3
471360,487900,16,1
494200,508220,17,3
508220,550590,18,9
562650,580160,19,7
580370,594360,20,0
594370,607750,21,5
610610,616980,22,6
617200,621190,23,3
621370,625460,24,2
625460,636970,25,7
636970,647480,26,6
