start,end,segment_id,class_id
12350,34090,1,6
34090,48490,2,7
48810,93040,3,0
93050,123270,4,4
128310,136470,5,4
136470,188150,6,0
188140,213940,7,4
213950,225620,8,6
225620,269070,9,1
269070,277390,10,3
277400,293040,11,5
293050,308850,12,2
308850,320240,13,9
320240,328800,14,7
328800,353810,15,2
354120,370550,16,9
370970,385190,17,2
385190,389650,18,0
409710,448870,19,9
448870,455900,20,3
455910,464260,21,1
464260,491710,22,3
491710,499750,23,1
499800,510200,24,9
510200,546260,25,1
546260,560200,26,2
560200,564780,27,9
564780,578660,28,2
578940,607360,29,8
607360,615260,30,1
617470,621140,31,1
621140,627910,32,8
628000,652350,33,5
652350,655330,34,7
655340,663090,35,9
663090,676240,36,8
676240,683010,37,5
683010,685560,38,7
685570,688940,39,5
688950,693520,40,7
693520,702960,41,5
703140,715670,42,6
