start,end,segment_id,class_id
770,24200,1,6
24200,48850,2,9
48850,59770,3,1
60170,94050,4,3
94380,115920,5,2
116090,118840,6,9
119160,144280,7,1
144280,153620,8,8
153870,191810,9,1
191810,194810,10,9
195520,202400,11,1
202560,206080,12,6
206400,212940,13,4
212940,214250,14,5
214250,216310,15,7
216690,219250,16,1
221690,223950,17,3
224820,227800,18,8
230970,269690,19,4
269690,272830,20,3
272950,287770,21,4
287770,331010,22,0
331010,340900,23,4
340900,355150,24,5
367040,374380,25,4
374380,378070,26,3
378360,380820,27,0
381030,384300,28,6
384310,387500,29,7
387500,409000,30,6
