start,end,segment_id,class_id
14340,14650,1,3
19440,27060,2,6
30040,36310,3,2
38440,45230,4,0
45240,52690,5,1
63230,65650,6,9
68080,92000,7,9
98040,115680,8,9
122290,148120,9,9
148120,153190,10,1
154120,156360,11,2
163320,166750,12,3
169030,171480,13,3
176060,189280,14,3
196490,202300,15,1
205720,219880,16,1
219890,231790,17,8
231790,235680,18,1
235680,243480,19,2
243480,250600,20,0
250600,340450,21,1
346020,353260,22,1
358700,365150,23,2
369720,384250,24,3
384760,398250,25,1
401630,420940,26,1
424880,426250,27,1
432200,433390,28,1
438540,445210,29,3
446750,557160,30,1
557160,567150,31,9
573740,587000,32,1
592790,609890,33,9
631240,653200,34,6
