start,end,segment_id,class_id
110,24850,1,6
26740,51210,2,0
55870,56360,3,0
56370,69670,4,1
69670,83770,5,9
84000,87180,6,7
90130,100740,7,6
101040,106800,8,0
106960,113220,9,2
113410,117650,10,0
117650,128590,11,6
130759,143190,12,0
147180,152480,13,6
153490,181290,14,7
181930,191380,15,1
191440,205550,16,9
206680,221560,17,3
223950,231530,18,0
231710,240640,19,7
243430,251670,20,3
251900,279870,21,2
279870,283980,22,9
283980,336650,23,2
337640,396490,24,4
398620,411950,25,4
412840,431430,26,0
434480,452860,27,0
456440,484780,28,0
487660,492660,29,0
495530,503740,30,0
503970,528050,31,4
531440,536550,32,2
537900,546180,33,4
548430,570960,34,4
578340,585570,35,6
585870,587580,36,0
587590,594960,37,4
594960,597720,38,3
598090,626650,39,6
