start,end,segment_id,class_id
5280,47000,1,6
47360,53970,2,7
53970,112160,3,0
112840,126290,4,4
128199,137640,5,0
137640,144460,6,3
144470,162760,7,4
162770,168900,8,9
171060,193020,9,4
196340,202450,10,2
202680,219300,11,1
219540,228000,12,8
228530,234210,13,1
235140,248050,14,8
248540,267390,15,3
267980,276400,16,5
276660,281250,17,9
282020,306810,18,2
306810,315410,19,3
315740,316070,20,9
316080,321750,21,3
322210,337870,22,1
340240,371250,23,3
371860,374350,24,1
375240,397350,25,9
400440,421550,26,7
421910,439550,27,9
440090,448510,28,7
448770,454970,29,5
455300,460310,30,3
460640,464490,31,6
464930,474170,32,7
474340,483890,33,6
