start,end,segment_id,class_id
7540,36220,1,6
36470,53400,2,2
58640,63140,3,2
63220,76200,4,1
76200,87450,5,8
87900,89150,6,1
89150,93640,7,7
94040,102250,8,8
102720,119190,9,2
119190,135160,10,3
135530,150140,11,5
156940,160910,12,3
161210,177750,13,1
178130,201280,14,3
201290,238270,15,9
242940,266050,16,0
266050,336320,17,4
338240,364320,18,7
364320,370270,19,0
370270,372690,20,7
373100,385460,21,1
385600,392750,22,2
392820,399580,23,4
399840,421760,24,7
422020,427050,25,6
427240,432500,26,1
432510,447960,27,4
448300,455740,28,6
