start,end,segment_id,word
19630,19910,2,Carrying
19910,20020,2,over
20020,20090,2,the
20090,20470,2,Hunchback
20480,21030,2,engines
21030,21280,2,gives
21280,21400,2,it
21400,21470,2,a
21470,21670,2,good
21670,22119,2,start
22119,22120,2,.
22440,22560,2,There
22560,22620,2,are
22620,22890,2,two
22890,23190,2,diesel
23190,23440,2,engines
23450,23859,2,flew
23859,23860,2,","
23890,24690,2,1.6
24700,24920,2,on
24920,25000,2,the
25000,25250,2,two
25260,25749,2,litre
25749,25750,2,.
26110,26190,2,A
26190,26390,2,two
26390,26700,2,litre
26700,26840,2,is
26840,27450,2,extremely
27450,27819,2,strong
27819,27820,2,.
27820,28010,2,Feeling
28010,28180,2,from
28180,28460,2,lower
28460,28850,2,ribs
29020,29120,2,when
29120,29200,2,you
29200,29330,2,don't
29330,29420,2,have
29420,29480,2,to
29490,29820,2,change
29820,30110,2,down
30110,30330,2,very
30330,30640,2,often
30640,30780,2,went
30780,30969,2,over
30969,30970,2,.
30970,31520,2,Taking
31690,32430,2,1.6
32439,32720,2,is
32770,33020,2,more
33020,33569,2,economical
33569,33570,2,","
33570,33860,2,though
34150,34500,2,achieved
34510,34890,2,by
34900,35200,2,making
35200,35300,2,the
35320,35890,2,senator's
36530,36730,2,car
36730,37249,2,drivers
37249,37250,2,.
37710,37850,2,We're
37850,38120,2,also
38120,38790,2,1.4
38800,39000,2,on
39000,39520,2,1.8
39530,40300,2,turbocharged
40310,40880,2,petrels
40890,41399,2,way
41399,41400,2,.
41400,41640,2,Probably
41640,41880,2,stick
41880,41980,2,for
41980,42070,2,the
42070,42330,2,love
42550,42620,2,of
42630,44200,2,1.4118
44210,44870,2,Smooth
44880,45189,2,on
45189,45190,2,.
45200,45480,2,It's
45480,46180,2,extremely
46180,46649,2,strong
46649,46650,2,.
47000,47310,2,About
47320,48120,2,1.4
48240,48400,2,is
48400,48590,2,cheap
48590,48680,2,to
48680,49060,2,buy
49070,49409,2,Andi
49409,49410,2,.
49420,49600,2,It's
49600,49890,2,more
49890,50469,2,economical
50469,50470,2,","
50480,50750,2,having
50750,50830,2,the
50830,51310,2,ability
51310,51430,2,to
51430,51630,2,shut
51630,51770,2,off
51780,52080,2,half
52080,52230,2,its
52230,52750,2,cylinders
52760,52980,2,when
53330,53689,2,needed
53689,53690,2,.
