start,end,segment_id,word
398620,398990,25,I'm
399000,399360,25,glad
399360,399500,25,that
399510,400020,25,Audi
400030,400370,25,let
400370,400430,25,you
400430,400730,25,turn
400730,400800,25,the
400800,401290,25,stability
401290,401760,25,control
401820,402429,25,away
402429,402430,25,.
402430,402700,25,Often
402700,402810,25,the
402820,403360,25,off
403590,404050,25,is
404060,404820,25,indeed
405020,405550,25,off
405940,406149,25,X1
406149,406150,25,.
406910,407909,25,Well
407909,407910,25,","
408400,408630,25,you
408630,408970,25,kinda
408970,409010,25,a
409010,409300,25,little
409300,409610,25,bit
410030,410180,25,of
410180,410730,25,sliding
410730,411130,25,around
411130,411250,25,if
411250,411360,25,you
411360,411470,25,will
411470,411949,25,hunt
411949,411950,25,.
