start,end,segment_id,word
129639,130030,11,Now
130479,130699,11,one
130699,130759,11,of
130759,130820,11,the
130820,131020,11,bombs
131020,131170,11,with
131180,131320,11,who
131320,131610,11,pays
131620,131810,11,is
131810,132060,11,that
132370,132520,11,there's
132520,132640,11,not
132640,132790,11,much
132790,132980,11,room
132980,133050,11,in
133050,133120,11,the
133120,133370,11,back
133370,133450,11,of
133450,133749,11,them
133749,133750,11,.
134360,134510,11,The
134520,135060,11,sloping
135060,135360,11,roof
135360,135710,11,line
136340,136870,11,does
136880,137490,11,affect
137660,137770,11,the
137770,137970,11,old
137970,138190,11,head
138190,138479,11,room
138479,138480,11,.
138490,138620,11,I'll
138620,138860,11,just
138870,139090,11,get
139100,139660,11,this
139710,139800,11,out
139810,139870,11,of
139870,139970,11,the
139970,140219,11,white
140219,140220,11,.
140540,140700,11,I'll
140700,141180,11,try
141190,141350,11,to
141350,141490,11,get
141490,141660,11,this
141660,141830,11,other
141830,142109,11,ways
142109,142110,11,.
142670,142730,11,You
142730,142820,11,can
142820,142950,11,see
142950,143100,11,what's
143100,143390,11,going
143390,143650,11,on
144140,144289,11,now
144289,144290,11,.
144290,144450,11,Let
144450,144620,11,this
144620,144870,11,C
144950,145120,11,come
145120,145330,11,back
145330,146049,11,electrically
146049,146050,11,.
147040,147160,11,It's
147160,147250,11,not
147260,147709,11,fast
147709,147710,11,","
147710,147899,11,it's
147899,147900,11,","
147900,148020,11,but
148020,148240,11,it's
148730,149010,11,nice
149010,149120,11,and
149120,149509,11,smooth
149509,149510,11,.
149510,149640,11,So
149640,149810,11,here
149810,149900,11,we
149900,150019,11,go
150019,150020,11,.
150030,150429,11,Look
150429,150430,11,","
150670,150810,11,I've
150810,150910,11,got
150910,151100,11,enough
151100,151450,11,leg
151450,151869,11,room
151869,151870,11,.
152420,152740,11,Even
152740,152850,11,if
152850,152930,11,I
152930,153100,11,sit
153100,153190,11,up
153190,153459,11,straight
153459,153460,11,","
153600,154030,11,I
154040,154220,11,have
154230,154420,11,got
154420,154640,11,enough
154640,155219,11,headroom
155219,155220,11,.
155230,155849,11,However
155849,155850,11,","
155850,156000,11,if
156000,156220,11,someone's
156220,156390,11,every
156390,156800,11,64
156810,156960,11,they
156960,157160,11,will
157160,157380,11,find
157380,157460,11,the
157460,157730,11,head
157930,158219,11,touching
158219,158220,11,.
158220,158310,11,The
158310,158510,11,review
158510,158690,11,won't
158690,158780,11,be
158780,158890,11,so
158890,159180,11,great
159180,159270,11,for
159270,159509,11,them
159509,159510,11,.
