start,end,segment_id,word
63220,63340,4,The
63340,63730,4,dash
63740,63950,4,is
63950,64030,4,a
64030,64800,4,beautifully
64810,65140,4,laid
65140,65410,4,out
65420,65590,4,on
65600,65630,4,a
65640,66080,4,clutter
66090,66579,4,free
66579,66580,4,","
66680,66790,4,and
66790,66930,4,there's
66930,67040,4,an
67050,67940,4,8.3
67940,68120,4,inch
68120,68529,4,screen
68529,68530,4,","
68650,69030,4,which
69040,69760,4,rises
69770,70030,4,from
70030,70110,4,the
70110,70470,4,center
70470,71130,4,console
71140,71680,4,displays
71680,72230,4,information
72230,72420,4,like
72430,72950,4,satellite
72950,73719,4,navigation
73719,73720,4,.
74020,74180,4,You
74180,74760,4,phone
74770,74970,4,your
74980,75589,4,radio
75589,75590,4,","
75740,76199,4,Andi
76199,76200,4,.
