start,end,segment_id,word
247920,248150,14,Just
248150,248520,14,saying
249280,249410,14,for
249410,249720,14,slightly
249720,249910,14,more
249910,250060,14,than
250060,251330,14,"$34,000"
251330,251690,14,including
251690,252389,14,destination
252389,252390,14,","
252580,252680,14,you
252680,252820,14,can
252820,253100,14,nab
253100,253190,14,a
253200,253450,14,G
253450,253630,14,L
253630,253740,14,A
253750,253990,14,to
253990,254350,14,50
254350,254550,14,with
254550,254710,14,all
254710,254850,14,wheel
254850,255319,14,drive
255319,255320,14,","
255540,255850,14,18
255850,256029,14,inch
256029,256509,14,wheels
256509,256510,14,","
256589,256709,14,a
256709,257019,14,power
257019,257230,14,lift
257240,257559,14,gate
257559,257560,14,","
257720,257950,14,M
257950,258110,14,B
258110,258539,14,text
258539,258540,14,","
258540,258850,14,faux
258850,259299,14,leather
259299,259300,14,","
259519,260050,14,14
260050,260240,14,way
260240,260600,14,memory
260600,260870,14,front
260870,261279,14,seats
261470,261640,14,and
261640,262050,14,Collision
262050,262590,14,Assistance
262590,263099,14,Plus
263099,263100,14,","
263290,263450,14,which
263450,263750,14,uses
263750,264110,14,radar
264110,264240,14,to
264240,264590,14,detect
264590,264650,14,an
264650,265070,14,impending
265070,265540,14,crash
265730,265830,14,on
265830,266360,14,automatically
266360,266630,14,apply
266630,266730,14,the
266730,267249,14,brakes
267249,267250,14,.
267770,268070,14,Prime
268080,268510,14,options
268510,268600,14,to
268600,269080,14,ponder
269240,269640,14,include
269640,269960,14,blind
269960,270240,14,spot
270240,270660,14,warning
270850,271060,14,lane
271060,271440,14,departure
271440,272030,14,prevention
272250,272860,14,navigation
272860,272990,14,with
272990,273040,14,a
273040,273360,14,seven
273360,273530,14,inch
273530,274000,14,display
274000,274130,14,that
274130,274590,14,replaces
274590,274680,14,the
274680,275080,14,standard
275080,275800,14,5.8
275800,275980,14,inch
275980,276310,14,unit
276380,276670,14,and
276670,276880,14,key
276880,277080,14,list
277090,277390,14,entry
277390,277560,14,with
277560,277830,14,push
277830,278040,14,button
278040,278379,14,Start
278379,278380,14,.
278380,278840,14,Because
278970,279140,14,even
279140,279210,14,though
279210,279300,14,it
279300,279570,14,sounds
279570,280159,14,entitled
280159,280160,14,","
280300,280390,14,we're
280390,280590,14,kind
280590,280680,14,of
280680,280960,14,over
280960,281280,14,reaching
281280,281400,14,into
281400,281520,14,our
281520,281950,14,pockets
281950,282070,14,to
282070,282380,14,unlock
282380,282450,14,the
282450,282750,14,doors
282750,282850,14,of
282850,283270,14,luxury
283270,283779,14,cars
283779,283780,14,.
