start,end,segment_id,class_id
21840,37760,1,2
38880,48180,2,1
48300,98750,3,1
103940,108270,4,2
108270,110660,5,2
110670,131030,6,1
131030,148050,7,2
148050,153700,8,2
159770,167240,9,1
167250,172130,10,1
172130,217030,11,1
218340,229920,12,0
229930,240060,13,0
240170,258130,14,0
258130,259950,15,0
261430,323940,16,0
323950,329630,17,1
331920,350540,18,2
354000,380100,19,2
380100,387560,20,2
388840,392000,21,2
395210,420520,22,2
422910,427960,23,1
427970,444750,24,1
446820,472140,25,1
472140,492650,26,1
