start,end,segment_id,class_id
260,25300,1,1
25300,42220,2,1
42620,99020,3,2
99260,101910,4,1
101910,150050,5,1
150810,161470,6,1
161800,200950,7,1
200950,224970,8,0
224970,228450,9,1
228770,243750,10,1
244390,249810,11,0
250050,283340,12,2
283340,366450,13,1
369540,382920,14,1
384950,395450,15,2
396140,420110,16,1
420430,443020,17,0
443510,465020,18,0
465190,505150,19,1
507640,579700,20,0
580580,695460,21,1
696190,732470,22,2
738970,765060,23,0
765290,770470,24,0
773740,774950,25,0
777190,783450,26,0
788040,788390,27,0
799640,801610,28,0
802090,811120,29,0
811130,820490,30,0
822350,841960,31,0
