start,end,segment_id,class_id
7870,89770,1,2
89780,114050,2,1
114050,119300,3,1
119300,165990,4,0
165990,184830,5,0
184990,240950,6,0
240950,254350,7,1
255310,421870,8,0
421870,461560,9,0
462210,471670,10,0
471770,483790,11,1
484140,488860,12,0
488860,504730,13,0
504730,521950,14,0
522340,598350,15,0
598360,627260,16,1
630840,639060,17,2
642020,678950,18,1
679230,698360,19,1
698370,712420,20,0
712900,761720,21,0
761750,762320,22,1
762320,774190,23,2
774190,787210,24,2
787210,795940,25,1
796090,810120,26,2
810180,838960,27,1
839190,849110,28,1
851830,881860,29,2
881860,893500,30,1
893680,899200,31,1
899210,904590,32,1
904600,949540,33,1
954930,962620,34,2
962620,981370,35,1
981580,1003960,36,1
1004740,1015890,37,1
1015890,1065700,38,0
