start,end,segment_id,class_id
15450,17860,1,0
17860,41450,2,2
46940,49430,3,1
49430,90700,4,2
97000,113660,5,1
113900,137170,6,1
142370,167810,7,0
168690,174640,8,0
176540,184140,9,2
184140,188610,10,2
188920,198450,11,2
200140,224640,12,0
224970,245700,13,0
245710,250090,14,0
250310,266750,15,0
269640,284270,16,0
284640,291150,17,0
291160,298230,18,0
298480,306590,19,0
306590,319750,20,1
336450,348390,21,0
348630,353300,22,0
353620,359060,23,0
359060,366950,24,0
374020,389800,25,1
392040,413750,26,0
414500,427800,27,0
428200,470460,28,0
470690,485950,29,0
490610,504900,30,0
504900,540660,31,0
540940,543740,32,0
554750,574250,33,0
574410,597610,34,0
597910,609910,35,2
609910,614380,36,2
614600,625730,37,2
631800,637810,38,2
