start,end,segment_id,class_id
440,3860,1,0
4130,22390,2,2
22640,30920,3,2
31140,47570,4,2
47600,49240,5,2
49240,51870,6,2
52180,57000,7,2
57120,76320,8,1
76320,81660,9,2
81870,93960,10,2
93970,101160,11,2
101160,112480,12,2
115000,116960,13,0
118110,118440,14,0
118440,172680,15,0
172970,220240,16,0
220930,257329,17,0
257760,277050,18,0
277900,287860,19,0
288030,303080,20,1
303650,305600,21,0
305990,312080,22,0
312740,319230,23,2
320740,332880,24,2
333080,345140,25,1
345940,351550,26,1
351650,359600,27,1
360200,363900,28,1
366190,381280,29,1
382770,387440,30,2
387450,391670,31,2
399840,401050,32,0
401050,406940,33,0
407220,416500,34,1
416790,419030,35,2
420220,444190,36,1
444990,445410,37,1
