start,end,segment_id,class_id
640,32450,1,2
33000,42010,2,2
42010,71230,3,1
71230,103350,4,1
103350,104530,5,0
104530,118770,6,0
118770,120740,7,0
120740,122420,8,1
122680,124710,9,1
124710,129639,10,1
129639,147810,11,0
148530,174660,12,0
174660,184770,13,1
184870,213130,14,2
213130,237270,15,1
237340,247160,16,0
247160,259860,17,0
259860,317100,18,1
317190,321900,19,0
321900,323060,20,0
323060,332470,21,1
333630,335400,22,1
336040,343290,23,1
344590,352900,24,2
354320,358850,25,2
360940,375480,26,2
375490,377350,27,1
377670,387470,28,1
390740,398580,29,2
399220,408300,30,2
408310,433060,31,2
433740,491450,32,2
494720,498060,33,1
498070,550720,34,1
550920,563290,35,0
563290,576500,36,1
576640,585500,37,2
585510,639120,38,1
645940,692150,39,0
