start,end,segment_id,class_id
180,28060,1,1
31140,42230,2,0
42520,125280,3,2
125750,143980,4,1
148490,174400,5,1
174410,177300,6,1
177820,232650,7,0
232650,342530,8,0
344840,359750,9,0
364820,367560,10,0
370140,395080,11,0
397710,400590,12,0
402940,406260,13,0
409020,415290,14,0
417640,499090,15,1
501340,544500,16,0
554160,565390,17,0
568150,578230,18,0
596650,758980,19,1
758990,798660,20,1
798660,809640,21,2
810190,844190,22,1
844200,886350,23,2
890640,893770,24,2
895230,936480,25,2
938620,958930,26,1
959570,979760,27,1
979760,984300,28,1
985310,999010,29,1
1001730,1061280,30,1
1065230,1077840,31,2
1079880,1100520,32,1
1101030,1120340,33,0
1123430,1124660,34,0
1130330,1132950,35,2
1133440,1170630,36,1
