start,end,segment_id,class_id
320,1990,1,0
2029,26900,2,2
26900,34610,3,2
34610,42280,4,1
42280,81410,5,1
81680,129820,6,1
130150,153710,7,2
153710,169690,8,2
169770,177740,9,1
177740,194850,10,1
194860,225740,11,1
225740,239190,12,1
240160,246210,13,1
246210,248010,14,1
248350,257620,15,1
257820,293140,16,0
293140,301930,17,0
302080,304130,18,0
305260,311480,19,1
312940,314260,20,1
314260,325280,21,1
325470,335520,22,1
336330,339500,23,0
347140,354010,24,2
356210,356600,25,2
357340,358540,26,2
358540,376360,27,1
377020,382300,28,1
382720,392050,29,1
392410,398220,30,2
407900,447170,31,1
