start,end,segment_id,class_id
9690,150230,1,1
150230,168530,2,0
169080,207490,3,1
207490,249720,4,0
256399,272650,5,0
273590,274350,6,0
276630,277440,7,1
280720,294390,8,0
294390,300260,9,0
300270,313250,10,0
313250,329560,11,0
329560,361830,12,1
362250,378760,13,1
378760,390580,14,2
390580,427550,15,1
427550,504680,16,1
504680,516080,17,2
516429,555560,18,2
555670,562630,19,1
563230,582440,20,1
585840,593040,21,1
595650,596730,22,1
597120,606530,23,1
606980,640920,24,0
642780,681990,25,1
681990,707960,26,1
708440,730140,27,1
730140,752500,28,1
755230,818830,29,1
818830,924810,30,0
925080,973600,31,0
973600,974510,32,0
975740,989490,33,0
991540,1030280,34,2
1033260,1039440,35,1
1039440,1066350,36,0
1066860,1080050,37,0
1081330,1096350,38,1
1097540,1208480,39,0
