start,end,segment_id,class_id
5650,10890,1,2
17140,21510,2,1
21510,32430,3,2
32430,43160,4,1
43170,45080,5,2
45090,46790,6,2
46790,79610,7,1
79870,90110,8,1
101100,102380,9,2
107970,115980,10,2
121580,125100,11,2
125100,129120,12,2
144870,151320,13,2
151330,184160,14,2
196700,201530,15,2
201800,220470,16,2
224960,247960,17,2
274650,286410,18,1
299940,315550,19,2
321440,339390,20,1
342720,379430,21,0
383430,388750,22,2
397320,399950,23,2
405820,413250,24,2
416620,418140,25,2
421220,425980,26,2
446560,461050,27,2
465640,469570,28,2
482540,502910,29,2
503150,508810,30,2
508850,527690,31,2
530920,531200,32,2
534070,537910,33,2
537910,576750,34,2
