start,end,segment_id,word
600420,600630,32,Let's
600630,600880,32,turn
600880,601000,32,on
601000,601090,32,the
601090,601409,32,radio
601409,601410,32,.
601410,601610,32,So
601610,601720,32,we
601720,601900,32,got
601900,602190,32,playing
602190,602360,32,this
602360,602720,32,morning
602720,602910,32,and
602910,603100,32,less
603100,603340,32,test
603340,603470,32,out
603470,603530,32,the
603530,603939,32,clarity
603939,603940,32,.
603940,604160,32,This
604160,604450,32,one
607280,607930,32,base
607940,608230,32,is
608230,608750,32,reading
608840,609179,32,Dick
609179,609180,32,.
609180,609380,32,You'll
609380,609750,32,asshole
609760,610459,32,A4
610459,610460,32,.
610460,610590,32,You
610590,610720,32,could
610720,611240,32,definitely
611240,611570,32,feel
611570,611749,32,that
611749,611750,32,.
611750,611900,32,It's
611900,612050,32,like
612050,612620,32,massaging
612620,612969,32,seats
612969,612970,32,.
612970,613329,32,Almost
613329,613330,32,.
613330,613390,32,It
613390,613540,32,was
613540,613720,32,so
613720,614069,32,nice
614069,614070,32,.
614080,614240,32,But
614240,614340,32,you
614340,614490,32,have
614490,614690,32,more
614690,614860,32,than
614860,615150,32,enough
615150,615669,32,clarity
615669,615670,32,.
615670,616069,32,Basic
616069,616070,32,.
616070,616180,32,It
616180,616290,32,is
616290,616640,32,totally
616640,617059,32,crazy
617059,617060,32,.
