start,end,segment_id,class_id
14340,14650,1,0
19440,27060,2,0
30040,36310,3,1
38440,45230,4,2
45240,52690,5,1
63230,65650,6,0
68080,92000,7,1
98040,115680,8,1
122290,148120,9,1
148120,153190,10,1
154120,156360,11,1
163320,166750,12,1
169030,171480,13,1
176060,189280,14,2
196490,202300,15,1
205720,219880,16,1
219890,231790,17,1
231790,235680,18,1
235680,243480,19,1
243480,250600,20,1
250600,340450,21,1
346020,353260,22,2
358700,365150,23,1
369720,384250,24,1
384760,398250,25,1
401630,420940,26,1
424880,426250,27,2
432200,433390,28,1
438540,445210,29,0
446750,557160,30,0
557160,567150,31,0
573740,587000,32,1
592790,609890,33,1
631240,653200,34,1
