start,end,segment_id,class_id
6650,36100,1,1
36240,40900,2,2
41120,63360,3,2
63600,72370,4,2
73540,75160,5,2
78120,105850,6,1
106330,109740,7,2
109740,131600,8,2
132530,134880,9,2
134890,145210,10,1
145540,146020,11,1
146030,182640,12,1
182910,190320,13,2
191270,207190,14,2
209750,242150,15,2
242640,259070,16,2
259300,268760,17,2
269640,286040,18,2
286050,308070,19,0
308640,329440,20,0
329450,346350,21,2
348160,358750,22,2
362840,368680,23,2
368880,379060,24,2
379300,383750,25,2
384230,397770,26,2
399520,435240,27,0
435250,438910,28,1
438920,450970,29,2
451660,482640,30,0
482650,488290,31,2
488450,495900,32,2
