start,end,segment_id,class_id
870,5260,1,0
5270,13340,2,1
13340,15480,3,1
22300,34490,4,0
34490,36460,5,0
41540,48570,6,0
49230,78410,7,1
78410,83580,8,2
83780,88980,9,2
89170,99050,10,2
110940,132960,11,1
133030,152790,12,0
152940,175010,13,1
175200,212370,14,0
212640,220620,15,0
225940,228930,16,0
229160,235980,17,1
236000,240010,18,2
240440,263160,19,0
263160,281890,20,1
282020,311730,21,1
311980,316560,22,1
317290,342960,23,2
342970,353460,24,2
354210,358480,25,2
358490,390840,26,2
390840,415850,27,1
417440,445950,28,1
