start,end,segment_id,class_id
12900,24150,1,0
24840,43380,2,0
43380,52950,3,1
55080,120500,4,1
121140,125260,5,1
125550,201680,6,2
209640,249430,7,1
252030,282110,8,2
282160,306460,9,2
310500,355840,10,1
355840,360370,11,1
361240,371720,12,1
374490,401640,13,1
401640,408170,14,2
408170,423030,15,1
429030,442550,16,1
443040,447020,17,1
447730,466110,18,1
467180,476940,19,2
478840,483310,20,2
490240,498270,21,1
504040,518330,22,1
518720,528740,23,1
528740,559360,24,1
561290,581920,25,1
582400,608880,26,1
609440,626310,27,1
627400,627680,28,1
