start,end,segment_id,class_id
22500,70640,1,1
90040,139350,2,0
139740,159300,3,1
159300,241260,4,1
242040,271630,5,1
276610,311960,6,1
311960,329060,7,1
331420,385220,8,1
385880,421380,9,1
421720,447920,10,2
448140,500900,11,1
500900,521350,12,2
524440,547350,13,1
547350,599310,14,2
599790,603950,15,1
604360,621550,16,1
621560,653650,17,0
653650,679440,18,1
687670,707230,19,1
708340,720010,20,1
720260,742180,21,2
742180,770050,22,2
770720,938180,23,1
938630,959550,24,0
960090,971210,25,0
971580,977110,26,1
977110,1014670,27,1
1014670,1041550,28,2
1041560,1077440,29,0
1077580,1096350,30,1
1096360,1202780,31,2
1203200,1215660,32,2
1222630,1245130,33,1
1251990,1268830,34,1
1269260,1321160,35,1
1321720,1387050,36,0
1388150,1406280,37,0
1408740,1419220,38,1
1420240,1443620,39,2
1443620,1454700,40,2
1455340,1490660,41,0
1498110,1505140,42,0
1505840,1543220,43,1
1543720,1548670,44,0
1548880,1614370,45,1
