start,end,segment_id,class_id
6370,33530,1,1
33530,44220,2,2
44490,53360,3,2
53700,63900,4,2
64160,77250,5,1
77250,122980,6,1
123270,131780,7,0
131780,135610,8,0
135620,155670,9,0
155870,159490,10,1
159940,176150,11,2
177430,197050,12,2
197440,216500,13,1
216840,220050,14,0
220250,227180,15,1
227750,363350,16,2
364040,379450,17,2
379670,400390,18,2
402040,412580,19,2
412880,424010,20,1
424010,482040,21,2
482340,506450,22,0
506460,510320,23,1
510320,518840,24,2
519210,530060,25,2
530390,555750,26,2
555990,557920,27,2
558130,569840,28,0
569840,579320,29,2
579320,590990,30,2
