start,end,segment_id,class_id
14460,58320,1,1
58870,65069,2,1
65379,89590,3,2
89590,108650,4,2
109240,121990,5,1
122370,126180,6,2
126460,161590,7,2
189040,245010,8,2
245390,248360,9,2
248520,255700,10,2
257070,267180,11,2
267350,270920,12,1
271330,277850,13,2
278590,283650,14,2
283650,288310,15,2
288310,289700,16,2
290450,314380,17,2
314920,318040,18,0
319170,324160,19,0
324170,326550,20,0
327670,333250,21,0
333740,340980,22,0
341450,346980,23,0
347460,357670,24,0
357670,366560,25,1
366570,367780,26,2
368080,377350,27,1
377940,387540,28,1
